,2107,2105,2024,2064,2019,2076,2087,2016,2070,2030,2078,2056,2054,15471,2023,2026,2021,2046,2063,2086,2079,2060,2049,2083,2061,2017,2094,2085,2039,2028,2051,2044,2068,2089,2013,2035,9341,2099,2034,2041,2058,2015,15030,2074,2067,2072,16382,16383,16384,11992
2107,0.0,0.0002350844208991772,0.000390879650511557,0.0015497406671135991,0.0005746059668367649,0.0014850644099726076,0.00033417812149801843,0.00010141457087716377,0.001517714587035851,5.048897142906853e-05,0.00019771263532591813,0.00013239304695353477,0.00018157209297583083,0.00011303708448844916,8.737826576355973e-05,0.00019782520967463263,0.00012218451565114725,0.0006074616865979756,3.422198513601869e-05,2.5639688143438817e-05,5.203661569701177e-05,4.509281874920633e-05,3.800352743872054e-05,0.00011092590614013111,3.352418563362472e-05,1.8219469061523038e-05,0.0002007792957977523,2.0246342710984234e-05,2.4143593420674645e-05,4.401015124662143e-06,9.255398964345493e-06,3.36942401364261e-05,1.6797356649513872e-05,1.3562598327211073e-05,0.00036081983320704645,1.6967824396210977e-05,3.234328875205563e-05,3.463475145190612e-05,2.267806493325542e-05,2.8950009255008722e-05,9.13047255671844e-06,4.311645137272609e-06,4.7360999292226163e-05,5.824088738863094e-06,3.6661616858781584e-05,1.4043673387623714e-05,7.682362425651948e-06,2.5899380176826058e-06,1.777643977070245e-06,2.117754045975615e-06
2105,0.0,0.0,2.9029757225404832e-05,0.00011509577249612946,4.267469973356194e-05,0.00011029241156241596,2.4818661509836033e-05,7.531833309382353e-06,0.0001127172671727603,3.7497029615844044e-06,1.4683675132217487e-05,9.832535427113797e-06,1.348495315910842e-05,8.395011395125671e-06,6.489388328538857e-06,1.4692035777261839e-05,9.074370644300447e-06,4.511482054027479e-05,2.541590279693172e-06,1.9042022810985752e-06,3.864643039203906e-06,3.3489427735249714e-06,2.8224369670082173e-06,8.238218902011746e-06,2.489766271664116e-06,1.3531192093003347e-06,1.4911429145181793e-05,1.503650581024147e-06,1.793090672880514e-06,3.268535480091451e-07,6.873777762735414e-07,2.502395839166414e-06,1.247502101799773e-06,1.00726383752479e-06,2.6797281839572098e-05,1.2601623600017594e-06,2.402063701997662e-06,2.572245510594435e-06,1.6842491505832625e-06,2.1500524246945392e-06,6.780997714459463e-07,3.2021623897102973e-07,3.5173954684173247e-06,4.325420418462309e-07,2.722776270159843e-06,1.0429922060717296e-06,5.705518715092445e-07,1.923489027473674e-07,1.320216414950631e-07,1.5728085546876865e-07
2024,0.0,0.0,0.0,5.3838463977815005e-05,1.996198673975372e-05,5.159159105630196e-05,1.1609449979753381e-05,3.5231731584904734e-06,5.272586817697835e-05,1.754002283894113e-06,6.868597321369165e-06,4.599374876440905e-06,6.307869951727346e-06,3.9269428301983855e-06,3.0355476329579485e-06,6.872508188617277e-06,4.244727381893553e-06,2.110340447651849e-05,1.1888822130650129e-06,8.907305949994509e-07,1.8077679183246296e-06,1.5665382921188643e-06,1.320254147327917e-06,3.8535998497445255e-06,1.1646404452837307e-06,6.329499183825842e-07,6.975134042543646e-06,7.03364127856316e-07,8.387558075087434e-07,1.5289260924942455e-07,3.2153538609159777e-07,1.1705481906359836e-06,5.835452989574765e-07,4.711688071302342e-07,1.2534991179382164e-05,5.894674005288478e-07,1.123615727039558e-06,1.2032218409142018e-06,7.878429003671001e-07,1.005732161198392e-06,3.17195404545244e-07,1.497878685990221e-07,1.645335576756167e-06,2.0233062113217056e-07,1.2736357640379872e-06,4.878815016218167e-07,2.6688761642186636e-07,8.997523755344397e-08,6.175589455436345e-08,7.357142219832619e-08
2064,0.0,0.0,0.0,0.0,0.00033281475384828925,0.0008601570025016741,0.00019355769982709243,5.873984502618566e-05,0.0008790681542640319,2.9243473907385205e-05,0.00011451618301308922,7.668273891347004e-05,0.00010516749723665317,6.547166514273036e-05,5.0609944362187295e-05,0.00011458138665927348,7.076990467810645e-05,0.0003518449570065208,1.982155114389796e-05,1.4850640248623875e-05,3.0139877487939306e-05,2.6117994310013842e-05,2.2011840043209283e-05,6.424885970234601e-05,1.9417382055812802e-05,1.0552810901596329e-05,0.00011629240865113545,1.1726786623499415e-05,1.398409443178947e-05,2.5490907681665803e-06,5.360775045626045e-06,1.951587850513127e-05,9.72911602255953e-06,7.855527238366232e-06,0.00020898871731782464,9.827851824884027e-06,1.8733400462090028e-05,2.006062753319339e-05,1.3135252736874318e-05,1.676799539195967e-05,5.28841702290583e-06,2.497327208316665e-06,2.7431736235222688e-05,3.3733423804942183e-06,2.123459848094809e-05,8.134168406496099e-06,4.449664130259611e-06,1.5001055220198114e-06,1.02962060403838e-06,1.2266141185457253e-06
2019,0.0,0.0,0.0,0.0,0.0,0.00022953466847235924,5.1651271024788946e-05,1.5674848678775977e-05,0.00023458114828660054,7.803681268407354e-06,3.055887939780885e-05,2.0462946883957447e-05,2.8064163335385874e-05,1.7471248747801314e-05,1.3505367934915571e-05,3.057627912514533e-05,1.8885094884846914e-05,9.389055175424908e-05,5.289421765084883e-06,3.962923950111673e-06,8.042888410919145e-06,6.969640597793447e-06,5.873904870959653e-06,1.7144940596442314e-05,5.181568411138346e-06,2.8160393331735923e-06,3.103286886923703e-05,3.129317173542158e-06,3.7316844133704675e-06,6.80230123890583e-07,1.4305338668102924e-06,5.207852391591059e-06,2.596234657478096e-06,2.096263629883627e-06,5.576906983782536e-05,2.6225825097736533e-06,4.999046513508327e-06,5.353219792185636e-06,3.505169258042778e-06,4.474574120823969e-06,1.4112249793535865e-06,6.664169112857416e-07,7.320215337502619e-06,9.001833650118915e-07,5.66649635856286e-06,2.1706195997396237e-06,1.1874020416993567e-06,4.0030624952065343e-07,2.74756379722433e-07,3.273245049741488e-07
2076,0.0,0.0,0.0,0.0,0.0,0.0,0.00023308034788978427,7.073396473468019e-05,0.0010585655409096374,3.521471415463214e-05,0.00013789930237621573,9.234062751861331e-05,0.00012664170355668804,7.884035872519237e-05,6.094401539778027e-05,0.00013797781998905106,8.52204485651316e-05,0.00042368836298222677,2.386892404932486e-05,1.788300025587918e-05,3.6294154851601894e-05,3.145104124196327e-05,2.650644918568815e-05,7.73678680017495e-05,2.3382227463545318e-05,1.2707594884400977e-05,0.00014003821645721797,1.4121285323581496e-05,1.6839513995034895e-05,3.069590946666857e-06,6.4553945087670434e-06,2.350083595441687e-05,1.1715709316777307e-05,9.459551457842837e-06,0.0002516622329206877,1.183460603427046e-05,2.2558583310109267e-05,2.4156817571716338e-05,1.5817346870033308e-05,2.0191861149742868e-05,6.36826166350534e-06,3.0072577584309486e-06,3.30330368186756e-05,4.062146927243511e-06,2.55705022619126e-05,9.795088511972644e-06,5.358243378589871e-06,1.8064128539247284e-06,1.2398593742234829e-06,1.477077097591864e-06
2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2380044998585386e-05,0.00033492742176085367,1.1141845227383247e-05,4.363098553897561e-05,2.921633767901817e-05,4.0069110149944516e-05,2.4944887263039634e-05,1.928253014111172e-05,4.365582831026706e-05,2.6963531322487552e-05,0.00013405391122194816,7.552066341755634e-06,5.6581354083219595e-06,1.1483377494973523e-05,9.951028772213016e-06,8.386572529244495e-06,2.4478994975306903e-05,7.398076790466366e-06,4.020650424494739e-06,4.430773246756212e-05,4.467938453118669e-06,5.327979032093111e-06,9.71210701553858e-07,2.042470263496969e-06,7.435604212729153e-06,3.7068203752372007e-06,2.9929778160612544e-06,7.962528494388293e-05,3.74443899166373e-06,7.137477893092763e-06,7.643155113749264e-06,5.004567975758049e-06,6.3886530725581485e-06,2.014901654765278e-06,9.514886406902043e-07,1.0451568114623527e-05,1.2852528677500026e-06,8.090441323409319e-06,3.099140879283922e-06,1.695334460269823e-06,5.715443932557792e-07,3.922883255748686e-07,4.673434047487837e-07
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015127390874552748,5.032345423742075e-06,1.970644771395624e-05,1.3195902493436522e-05,1.8097684807263084e-05,1.126665168130339e-05,8.709181498528315e-06,1.9717668243758076e-05,1.2178396009770653e-05,6.054702546168234e-05,3.410979574669268e-06,2.555563396178076e-06,5.18660248877868e-06,4.494499167902456e-06,3.787894107943605e-06,1.1056225950710169e-05,3.341428382930389e-06,1.8159740466009592e-06,2.001210842271692e-05,2.0179969447837675e-06,2.4064443862540153e-06,4.3865873468085837e-07,9.225057137193975e-07,3.3583780845134676e-06,1.6742290142491857e-06,1.3518136276925082e-06,3.596369632892636e-05,1.6912199047487451e-06,3.2237258263191057e-06,3.4521208897334766e-06,2.2603719793841562e-06,2.8855102900324918e-06,9.100540273821213e-07,4.297510339626641e-07,4.720573648186186e-06,5.804995721424263e-07,3.654142966359862e-06,1.3997634236622126e-06,7.657177459154833e-07,2.5814474650907254e-07,1.7718163551063554e-07,2.1108114465847153e-07
2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015199554042480352,0.0005952079831413085,0.0003985653133865032,0.0005466173625005707,0.0003402947665314122,0.00026304965916710876,0.0005955468848556139,0.0003678328348207669,0.0018287452631420198,0.00010302426407054888,7.718751532026021e-05,0.00015665467726663554,0.000135750583960545,0.00011440848422139763,0.00033393912717289266,0.0001009235595112663,5.4849167409752384e-05,0.0006044400728932393,6.095100999047239e-05,7.268356684444896e-05,1.3249124578236581e-05,2.7863102131308623e-05,0.00010143550351256711,5.056794047068053e-05,4.082979716085324e-05,0.0010862373304899044,5.108112853038628e-05,9.736850472168263e-05,0.00010426688473555116,6.827163710715624e-05,8.715313815018015e-05,2.7487014912592374e-05,1.2980078900605497e-05,0.00014257887373669273,1.753324518779645e-05,0.00011036870250221293,4.227805926092482e-05,2.312752261682812e-05,7.79693104299936e-06,5.351544096264306e-06,6.375435299906967e-06
