link_seq,from_stop_id,to_stop_id,tt_mean,tt_std,tt_cv,tt_count,spacing_m
0,2107,2105,35.88247762600094,22.105648225537962,0.6160569082197351,4246,200.4875926281144
1,2105,2024,60.66367924528302,36.57400117984524,0.6028978399408423,4240,338.38027563135114
2,2024,2064,31.12957746478873,23.16342743056243,0.7440970715636288,4260,181.36309061404876
3,2064,2019,53.455610213164675,32.211508266343856,0.602584240230243,4269,315.7849517870456
4,2019,2076,29.70086468801122,15.766863800691294,0.5308553796770639,4279,156.63040586799897
5,2076,2087,49.62295465170641,19.192189843947624,0.3867603204737357,4278,301.38103018141936
6,2087,2016,22.432615816565278,8.99482511541025,0.4009708537320047,4274,176.24927471656684
7,2016,2070,37.132468735525705,22.68102851303074,0.6108139126050389,4318,232.92589760938867
8,2070,2030,57.977880184331795,39.570306343988634,0.6825069529651809,4340,217.16004749143937
9,2030,2078,28.472982294780408,19.741685540515466,0.6933480074594947,4349,149.93117191711642
10,2078,2056,43.61490683229814,21.5764640250551,0.494703888925359,4347,211.5656507813082
11,2056,2054,35.15853658536585,16.163760402673876,0.4597392830451814,4346,220.88345348579128
12,2054,15471,56.359128822984246,29.728260800554906,0.5274790689885752,4316,362.3160743602305
13,15471,2023,33.24924716238128,23.980287172124758,0.7212279741255745,4317,160.03674304872666
14,2023,2026,55.9675550405562,40.01231688469954,0.7149198648342795,4315,174.99274131977552
15,2026,2021,68.39360222531293,24.31414724837819,0.35550324090663793,4314,331.04004983152396
16,2021,2046,37.12006465019626,17.869268433842365,0.4813910913742949,4331,263.40856820095394
17,2046,2063,46.723172987974095,21.388217542770146,0.45776466312069986,4324,143.5875119791422
18,2063,2086,40.25614849187935,16.46506750410764,0.4090075211101988,4310,260.8326341193374
19,2086,2079,30.17567881178928,14.652283700077184,0.4855660013968836,4309,200.8582827920054
20,2079,2060,31.06012070566388,11.092069141930596,0.3571160990339594,4308,202.89279219427576
21,2060,2049,30.88538283062645,13.225829871849312,0.4282229540225858,4310,203.03960665534356
22,2049,2083,33.60843373493976,25.948644588308394,0.7720872919267241,4316,156.40821964157954
23,2083,2061,57.37649494020239,22.45769315861814,0.391409290198425,4348,375.094505455546
24,2061,2017,38.147763946519134,14.482784444438602,0.3796496293922389,4338,254.74312478726245
25,2017,2094,33.66689702833448,15.848929175641794,0.47075705142363244,4341,213.39771956287018
26,2094,2085,82.17865375749193,35.39068339465725,0.4306554290740107,4338,321.5473874206924
27,2085,2039,49.153367158671585,24.092933348457432,0.4901583501021045,4336,295.71401407592674
28,2039,2028,37.93593894542091,16.831857201761363,0.44369159350392373,4324,198.43913127559205
29,2028,2051,27.09357670979667,15.638015089223789,0.5771853327718556,4328,182.13802935916158
30,2051,2044,57.75693160813309,25.124714541800664,0.4350077790189032,4328,201.5070443702536
31,2044,2068,36.01430219146482,16.685831174678643,0.4633112446819277,4335,233.23655394623674
32,2068,2089,46.218194412375894,19.088542966451296,0.41300927500837065,4331,329.54349044577407
33,2089,2013,64.10570043849526,35.49104678561718,0.5536332423302706,4333,382.1126557638229
34,2013,2035,58.69168215613383,31.3839797662471,0.5347261931044718,4304,222.05783739730478
35,2035,9341,23.575151233131688,15.6303457778347,0.6630008699951991,4298,95.11778537506586
36,9341,2099,54.65046511627907,24.91809168270408,0.45595388126498443,4300,280.456740251139
37,2099,2034,47.751979506287846,26.453766032216624,0.5539826056579135,4294,245.73226612642148
38,2034,2041,56.62561346108904,21.737319081523257,0.38387785584804857,4279,328.5186949326889
39,2041,2058,55.39962564342536,20.793387215270208,0.3753344354545814,4274,336.12635876886935
40,2058,2015,34.49107981220657,11.105659817387737,0.32198643469136584,4260,254.53073330906003
41,2015,15030,41.955101081335215,19.57731346526915,0.46662534377681697,4254,268.53123853172127
42,15030,2074,52.52054794520548,23.76892217394037,0.45256424587836386,4234,198.28247721893678
43,2074,2067,39.66178208461357,25.96059484434292,0.6545493792729525,4231,180.89397930979354
44,2067,2072,47.21883132245091,29.391898804602135,0.6224613778322656,4227,190.6111494009729
45,2072,16382,140.81974659335404,49.38181232068564,0.35067391836235706,4183,554.2451901542105
46,16382,16383,58.2684515195369,33.5935049349414,0.5765299069888238,4146,266.56393709160903
47,16383,16384,40.90829905637551,49.999240665440254,1.2222273186312773,4133,220.37240264477708
48,16384,11992,167.3510585918267,102.02675435346605,0.6096570599072921,4062,410.4287583061435
