stop_id,stop_seq,boardings,alightings,n_trips,avg_boarding_per_trip,headway_sec,lambda_pax_sec,lambda_pax_min
2107,1,20666.0,1925.0,4292.0,4.815004659832246,524.1007418042594,0.00918717390716945,0.5512304344301671
2105,2,1483.0,526.0,4256.0,0.34844924812030076,524.1007418042594,0.000664851659855958,0.03989109959135748
2024,3,667.0,939.0,4279.0,0.15587754148165459,524.1007418042594,0.0002974190437987809,0.017845142627926854
2064,4,9116.0,3843.0,4283.0,2.128414662619659,524.1007418042594,0.004061079278942476,0.24366475673654858
2019,5,2239.0,2168.0,4294.0,0.5214252445272474,524.1007418042594,0.0009948950706160013,0.05969370423696008
2076,6,7769.0,6117.0,4292.0,1.810111835973905,524.1007418042594,0.003453747899196723,0.20722487395180336
2087,7,2289.0,1898.0,4286.0,0.5340643957069529,524.1007418042594,0.00101901095172732,0.06114065710363921
2016,8,1022.0,626.0,4332.0,0.23591874422899353,524.1007418042594,0.0004501400692867254,0.027008404157203524
2070,9,20717.0,9710.0,4379.0,4.730988810230646,524.1007418042594,0.009026869135776897,0.5416121481466138
2030,10,964.0,670.0,4354.0,0.22140560404225998,524.1007418042594,0.00042244856071001387,0.025346913642600832
2078,11,3092.0,2688.0,4360.0,0.7091743119266055,524.1007418042594,0.0013531259457584723,0.08118755674550834
2056,12,1919.0,1948.0,4354.0,0.4407441433164906,524.1007418042594,0.0008409530995876728,0.05045718597526037
2054,13,5577.0,2804.0,4366.0,1.277370590929913,524.1007418042594,0.002437261558784406,0.14623569352706436
15471,14,1996.0,2003.0,4328.0,0.4611829944547135,524.1007418042594,0.0008799510431278031,0.052797062587668184
2023,15,1358.0,1623.0,4339.0,0.31297533994007837,524.1007418042594,0.0005971663746604046,0.035829982479624274
2026,16,6585.0,3794.0,4332.0,1.5200831024930748,524.1007418042594,0.002900364340756445,0.1740218604453867
2021,17,1996.0,2736.0,4338.0,0.4601198709082526,524.1007418042594,0.0008779225713824646,0.052675354282947874
2046,18,16537.0,14232.0,4369.0,3.7850766765850308,524.1007418042594,0.00722204029621213,0.43332241777272784
2063,19,10940.0,1232.0,4334.0,2.5242270419935395,524.1007418042594,0.004816301219692387,0.2889780731815432
2086,20,2853.0,1142.0,4318.0,0.6607225567392311,524.1007418042594,0.0012606785376121392,0.07564071225672835
2079,21,4510.0,2436.0,4320.0,1.0439814814814814,524.1007418042594,0.0019919481088454295,0.11951688653072577
2060,22,4796.0,2280.0,4342.0,1.1045601105481344,524.1007418042594,0.002107533957585323,0.12645203745511938
2049,23,2046.0,2079.0,4319.0,0.4737207686964575,524.1007418042594,0.000903873493988265,0.0542324096392959
2083,24,12650.0,6271.0,4372.0,2.893412625800549,524.1007418042594,0.005520718432566496,0.33124310595398976
2061,25,5952.0,2316.0,4357.0,1.3660775763139774,524.1007418042594,0.0026065171585354834,0.156391029512129
2017,26,2521.0,1370.0,4351.0,0.5794070328660078,524.1007418042594,0.0011055260690365596,0.06633156414219357
2094,27,22985.0,15627.0,4361.0,5.270580142169227,524.1007418042594,0.010056425648292018,0.6033855388975211
2085,28,4402.0,2193.0,4343.0,1.0135850794381764,524.1007418042594,0.0019339508582812293,0.11603705149687377
2039,29,8042.0,2760.0,4355.0,1.8466130884041332,524.1007418042594,0.003523393388162393,0.21140360328974359
2028,30,1145.0,553.0,4335.0,0.26412918108419836,524.1007418042594,0.000503966432436085,0.0302379859461651
2051,31,2880.0,1178.0,4335.0,0.6643598615916955,524.1007418042594,0.0012676186248174017,0.0760571174890441
2044,32,9319.0,4428.0,4345.0,2.144764096662831,524.1007418042594,0.00409227449150197,0.2455364694901182
2068,33,5309.0,2444.0,4342.0,1.2227084292952557,524.1007418042594,0.0023329645080943455,0.13997787048566074
2089,34,2613.0,2085.0,4346.0,0.6012425218591808,524.1007418042594,0.0011471888396672643,0.06883133038003586
2013,35,64614.0,56963.0,4347.0,14.864044168391995,524.1007418042594,0.02836104394208891,1.7016626365253344
2035,36,953.0,6762.0,4312.0,0.22101113172541745,524.1007418042594,0.00042169589564893315,0.02530175373893599
9341,37,7055.0,13012.0,4312.0,1.6361317254174397,524.1007418042594,0.0031217886083979257,0.18730731650387555
2099,38,11963.0,15050.0,4306.0,2.778216442173711,524.1007418042594,0.005300920644778092,0.3180552386866855
2034,39,4809.0,11328.0,4301.0,1.1181120669611717,524.1007418042594,0.0021333914985733086,0.12800348991439853
2041,40,4894.0,15324.0,4288.0,1.1413246268656716,524.1007418042594,0.0021776817619768457,0.13066090571861075
2058,41,1373.0,5171.0,4278.0,0.3209443665264142,524.1007418042594,0.0006123715173947992,0.03674229104368795
2015,42,468.0,2490.0,4264.0,0.10975609756097561,524.1007418042594,0.00020941793973260048,0.012565076383956028
15030,43,2753.0,27538.0,4275.0,0.6439766081871345,524.1007418042594,0.0012287267634275667,0.073723605805654
2074,44,420.0,3612.0,4244.0,0.09896324222431668,524.1007418042594,0.0001888248466957472,0.011329490801744833
2067,45,1050.0,22973.0,4257.0,0.24665257223396758,524.1007418042594,0.00047062053639696454,0.02823723218381787
2072,46,715.0,9320.0,4237.0,0.16875147510030683,524.1007418042594,0.0003219828968746851,0.019318973812481106
16382,47,509.0,5484.0,4195.0,0.12133492252681764,524.1007418042594,0.00023151068649342548,0.01389064118960553
